title,url,date,summary,section
Στη Βουλή νέα ποινική δικογραφία για τα Τέμπη,https://www.protagon.gr/epikairotita/sti-vouli-nea-poiniki-dikografia-gia-ta-tebi-44343146091,2025-05-14,Επειτα από μήνυση συγγενών και πολιτών. Ανακοινώθηκε το πρωί της Τετάρτης από τον α' αντιπρόεδρο της Βουλής Γιάννη Πλακιωτάκη,
Τέμπη: «Μούφα» και αυτοτραυματισμός (της κυβέρνησης…),https://www.protagon.gr/apopseis/tebi-moufa-kai-aftotravmatismos-tis-kyvernisis-44343145522,2025-05-13,Το πόρισμα του ΕΜΠ έκλεισε τον χειμώνα του θριάμβου της παραφιλολογίας και των θεωριών συνωμοσίας που έκαναν εισπήδηση και κατέλαβαν πλήρως...,
Κατά ριπάς η κυβέρνηση εναντίον της αντιπολίτευσης για τα Τέμπη: Ελεγαν συνειδητά ψέματα για να θυμώσουν τον κόσμο,https://www.protagon.gr/epikairotita/kata-ripas-i-kyvernisi-enantion-tis-antipolitefsis-gia-ta-tebi-elegan-syneidita-psemata-gia-na-thymwsoun-ton-kosmo-44343145252,2025-05-13,"Σφοδρή επίθεση από τον κυβερνητικό εκπρόσωπο, Παύλο Μαρινάκη, στα κόμματα της αντιπολίτευσης και ειδικά στο ΠΑΣΟΚ. «Η...",
«Πιθανώς από τα έλαια σιλικόνης η πυρόσφαιρα»: Παραδόθηκε το πόρισμα του ΕΜΠ για τα Τέμπη,https://www.protagon.gr/epikairotita/pithanws-apo-ta-elaia-silikonis-i-pyrosfaira-paradothike-to-porisma-tou-eb-gia-ta-tebi-44343145202,2025-05-13,"Τα έλαια σιλικόνης υπό συνθήκες τόξου, όπως συνέβη και στο τραγικό δυστύχημα των Τεμπών, μπορούν να δημιουργήσουν...",
Τέμπη: Η ΕΛ.ΑΣ. «απάντησε» σε όσους επιμένουν να αμφισβητούν τη γνησιότητα των βίντεο,https://www.protagon.gr/epikairotita/tebi-i-el-as-apantise-se-osous-epimenoun-na-amfisvitoun-ti-gnisiotita-twn-vinteo-44343139751,2025-05-05,"Στόχος τους, ο αποπροσανατολισμός και η δημιουργία λανθασμένων εντυπώσεων στην κοινή γνώμη, τονίζεται στη σχετική ανακοίνωση. Αδιαπραγμάτευτες...",
Εξυπνακισμοί στη Βουλή: Βουλευτές επιχείρησαν να φωτογραφίσουν τη δικογραφία για τα Τέμπη,https://www.protagon.gr/epikairotita/eksypnakismoi-sti-vouli-vouleftes-epixeirisan-na-fwtografisoun-ti-dikografia-gia-ta-tebi-44343137931,2025-04-30,Παρατράγουδα κατά την ανάγνωση της δικογραφίας στην αίθουσα «Παύλος Μπακογιάννης» του κοινοβουλιου. Ποιοι πέρασαν ήδη το κατώφλι...,
Μαρινάκης κατά Κωνσταντοπούλου για Τέμπη: Από την πρώτη ημέρα θέλατε σόου στη Βουλή,https://www.protagon.gr/epikairotita/marinakis-kata-kwnstantopoulou-gia-tebi-apo-tin-prwti-imera-thelate-soou-sti-vouli-44343137899,2025-04-30,"«Είναι κάποιοι πολιτικοί που χρησιμοποιούν το ναό της Δημοκρατίας, όπως η Βουλή των Ελλήνων, για να κάνουν...",
Τα «Τέμπη» στη Βουλή: Δράμα Δωματίου,https://www.protagon.gr/themata/ta-tebi-sti-vouli-drama-dwmatiou-44343137774,2025-04-30,"Ο εφέτης ειδικός ανακριτής έχει «σταθεί» ιδιαιτέρως στα κατηγορητήρια, συντάσσοντάς τα με λεπτομερή νομική σκέψη. Η παγίδα τού να φυλλομετρηθούν, όμως,...",
Καραμανλής όπως Τριαντόπουλος για τα Τέμπη;,https://www.protagon.gr/epikairotita/karamanlis-opws-triantopoulos-gia-ta-tebi-44343136802,2025-04-29,"Θρυαλλίδα εξελίξεων η διαβίβαση στη Βουλή της δικογραφίας για τον παραιτηθέντα υπουργό Μεταφορών και τον προκάτοχό του, Χρήστο Σπίρτζη, με τον...",
Τέμπη: Στη Βουλή η δικογραφία για Καραμανλή – Σπίρτζη,https://www.protagon.gr/epikairotita/tebi-sti-vouli-i-dikografia-gia-karamanli-spirtzi-44343136108,2025-04-28,Το αδίκημα που φέρεται να εξετάζεται είναι αυτό της διατάραξης ασφάλειας συγκοινωνιών σε βαθμό κακουργήματος,
